jackson_num,local_file,q_count,gate_qmark,old_wc,new_wc,delta_pct,gate_wordcount,similarity,gate_opening,overall
24,sermon-024-upon-our-lords-sermon-on-the-mount-iv.txt,42,PASS,6866,6861,-0.1,PASS,0.998,PASS,PASS
25,sermon-025-upon-our-lords-sermon-on-the-mount-v.txt,69,PASS,7498,7544,0.6,PASS,0.995,PASS,PASS
26,sermon-026-upon-our-lords-sermon-on-the-mount-vi.txt,5,PASS,6962,6533,-6.2,PASS,0.959,PASS,PASS
27,sermon-027-upon-our-lords-sermon-on-the-mount-vii.txt,25,PASS,7267,7259,-0.1,PASS,0.999,PASS,PASS
28,sermon-028-upon-our-lords-sermon-on-the-mount-viii.txt,47,PASS,7482,7472,-0.1,PASS,0.998,PASS,PASS
29,sermon-029-upon-our-lords-sermon-on-the-mount-ix.txt,61,PASS,6648,6639,-0.1,PASS,0.999,PASS,PASS
30,sermon-030-upon-our-lords-sermon-on-the-mount-x.txt,21,PASS,5049,5039,-0.2,PASS,0.998,PASS,PASS
31,sermon-031-upon-our-lords-sermon-on-the-mount-xi.txt,14,PASS,3636,3628,-0.2,PASS,0.997,PASS,PASS
32,sermon-032-upon-our-lords-sermon-on-the-mount-xii.txt,46,PASS,4081,4073,-0.2,PASS,0.998,PASS,PASS
33,sermon-033-upon-our-lords-sermon-on-the-mount-xiii.txt,37,PASS,4629,4621,-0.2,PASS,0.998,PASS,PASS
34,sermon-034-the-original-nature-property-and-use-of-the-law.txt,19,PASS,5939,5930,-0.2,PASS,0.998,PASS,PASS
35,sermon-035-the-law-established-through-faith-i.txt,66,PASS,4655,4695,0.9,PASS,0.994,PASS,PASS
36,sermon-036-the-law-established-through-faith-ii.txt,5,PASS,3904,3898,-0.2,PASS,0.998,PASS,PASS
37,sermon-037-the-nature-of-enthusiasm.txt,16,PASS,5171,5168,-0.1,PASS,1.000,PASS,PASS
38,sermon-038-a-caution-against-bigotry.txt,39,PASS,5749,5747,-0.0,PASS,0.999,PASS,PASS
39,sermon-039-catholic-spirit.txt,74,PASS,4847,5727,18.2,FAIL,0.912,PASS,FAIL
40,sermon-040-christian-perfection.txt,36,PASS,9438,8691,-7.9,PASS,0.958,PASS,PASS
41,sermon-041-wandering-thoughts.txt,32,PASS,3917,3913,-0.1,PASS,0.999,PASS,PASS
42,sermon-042-satans-devices.txt,21,PASS,4959,4961,0.0,PASS,0.999,PASS,PASS
43,sermon-043-scripture-way-of-salvation.txt,33,PASS,4665,4655,-0.2,PASS,0.998,PASS,PASS
44,sermon-044-original-sin.txt,26,PASS,4799,4797,-0.0,PASS,0.999,PASS,PASS
45,sermon-045-the-new-birth.txt,39,PASS,5393,5391,-0.0,PASS,0.998,PASS,PASS
46,sermon-046-the-wilderness-state.txt,42,PASS,6223,6216,-0.1,PASS,0.999,PASS,PASS
47,sermon-047-heaviness-through-manifold-temptations.txt,18,PASS,5069,5067,-0.0,PASS,0.999,PASS,PASS
48,sermon-048-self-denial.txt,15,PASS,4789,4826,0.8,PASS,0.995,PASS,PASS
49,sermon-049-the-cure-of-evil-speaking.txt,37,PASS,4463,4563,2.2,PASS,0.988,PASS,PASS
50,sermon-050-use-of-money.txt,43,PASS,5187,5246,1.1,PASS,0.993,PASS,PASS
51,sermon-051-the-good-steward.txt,66,PASS,5693,5750,1.0,PASS,0.994,PASS,PASS
52,sermon-052-the-reformation-of-manners.txt,39,PASS,7777,7746,-0.4,PASS,0.996,PASS,PASS
53,sermon-053-on-the-death-of-george-whitefield.txt,44,PASS,7808,6463,-17.2,FAIL,0.905,PASS,FAIL
54,sermon-054-on-eternity.txt,43,PASS,4018,4017,-0.0,PASS,0.999,PASS,PASS
55,sermon-055-on-the-trinity.txt,28,PASS,3035,3034,-0.0,PASS,0.991,PASS,PASS
56,sermon-056-gods-approbation-of-his-works.txt,2,PASS,3575,3606,0.9,PASS,0.993,PASS,PASS
57,sermon-057-on-the-fall-of-man.txt,22,PASS,4151,4156,0.1,PASS,0.997,PASS,PASS
58,sermon-058-on-predestination.txt,9,PASS,2512,2512,0.0,PASS,0.999,PASS,PASS
59,sermon-059-gods-love-to-fallen-man.txt,23,PASS,4250,4247,-0.1,PASS,0.997,PASS,PASS
60,sermon-060-the-general-deliverance.txt,41,PASS,5072,5067,-0.1,PASS,0.999,PASS,PASS
61,sermon-061-the-mystery-of-iniquity.txt,30,PASS,6016,6012,-0.1,PASS,0.999,PASS,PASS
62,sermon-062-the-end-of-christs-coming.txt,18,PASS,4280,4277,-0.1,PASS,0.998,PASS,PASS
