passage_id,reference,book,chapter,verse_start,verse_end,source_title,author
jw-sermon-015-023,John 12:31,John,12,31,31,The Great Assize,john-wesley
jw-means-of-grace-000,Malachi 3:7,Malachi,3,7,7,The Means of Grace,john-wesley
jw-means-of-grace-000,Acts 2:44-42,Acts,2,44,42,The Means of Grace,john-wesley
jw-means-of-grace-004,Matthew 7:7-8,Matthew,7,7,8,The Means of Grace,john-wesley
jw-means-of-grace-004,Matthew 7:9-11,Matthew,7,9,11,The Means of Grace,john-wesley
jw-means-of-grace-004,Luke 11:13,Luke,11,13,13,The Means of Grace,john-wesley
jw-means-of-grace-004,Luke 11:5-7,Luke,11,5,7,The Means of Grace,john-wesley
jw-means-of-grace-005,Luke 18:1-5,Luke,18,1,5,The Means of Grace,john-wesley
jw-means-of-grace-005,Matthew 6:6,Matthew,6,6,6,The Means of Grace,john-wesley
jw-means-of-grace-005,James 4:2,James,4,2,2,The Means of Grace,john-wesley
jw-means-of-grace-005,James 1:5,James,1,5,5,The Means of Grace,john-wesley
jw-means-of-grace-006,John 5:39,John,5,39,39,The Means of Grace,john-wesley
jw-means-of-grace-006,Acts 17:11-12,Acts,17,11,12,The Means of Grace,john-wesley
jw-means-of-grace-008,1 Corinthians 11:23,1 Corinthians,11,23,23,The Means of Grace,john-wesley
jw-means-of-grace-008,1 Corinthians 11:28,1 Corinthians,11,28,28,The Means of Grace,john-wesley
jw-means-of-grace-008,1 Corinthians 10:16,1 Corinthians,10,16,16,The Means of Grace,john-wesley
jw-means-of-grace-011,Isaiah 26:8,Isaiah,26,8,8,The Means of Grace,john-wesley
jw-means-of-grace-011,Exodus 14:10,Exodus,14,10,10,The Means of Grace,john-wesley
jw-means-of-grace-012,Colossians 2:20,Colossians,2,20,20,The Means of Grace,john-wesley
jw-sermon-017-000,Romans 2:29,Romans,2,29,29,The Circumcision of the Heart,john-wesley
jw-sermon-018-000,John 3:8,John,3,8,8,The Marks of the New Birth,john-wesley
jw-sermon-018-000,Galatians 3:26,Galatians,3,26,26,The Marks of the New Birth,john-wesley
jw-sermon-018-000,John 1:12-13,John,1,12,13,The Marks of the New Birth,john-wesley
jw-sermon-018-000,1 John 5:1,1 John,5,1,1,The Marks of the New Birth,john-wesley
jw-sermon-018-004,1 John 3:1,1 John,3,1,1,The Marks of the New Birth,john-wesley
jw-sermon-018-004,1 John 3:9,1 John,3,9,9,The Marks of the New Birth,john-wesley
jw-sermon-018-005,1 John 3:6,1 John,3,6,6,The Marks of the New Birth,john-wesley
jw-sermon-018-005,1 John 3:7,1 John,3,7,7,The Marks of the New Birth,john-wesley
jw-sermon-018-005,1 John 3:18,1 John,3,18,18,The Marks of the New Birth,john-wesley
jw-sermon-018-006,Romans 5:1,Romans,5,1,1,The Marks of the New Birth,john-wesley
jw-sermon-018-006,John 14:27,John,14,27,27,The Marks of the New Birth,john-wesley
jw-sermon-018-006,John 16:33,John,16,33,33,The Marks of the New Birth,john-wesley
jw-sermon-018-007,1 Peter 1:3,1 Peter,1,3,3,The Marks of the New Birth,john-wesley
jw-sermon-018-008,Romans 8:16-17,Romans,8,16,17,The Marks of the New Birth,john-wesley
jw-sermon-018-008,Romans 8:14-16,Romans,8,14,16,The Marks of the New Birth,john-wesley
jw-sermon-018-009,John 16:22,John,16,22,22,The Marks of the New Birth,john-wesley
jw-sermon-018-009,Romans 5:2,Romans,5,2,2,The Marks of the New Birth,john-wesley
jw-sermon-018-009,1 Peter 1:5,1 Peter,1,5,5,The Marks of the New Birth,john-wesley
jw-sermon-018-010,Revelation 21:3-4,Revelation,21,3,4,The Marks of the New Birth,john-wesley
jw-sermon-018-010,Romans 5:5,Romans,5,5,5,The Marks of the New Birth,john-wesley
jw-sermon-018-010,Galatians 4:6,Galatians,4,6,6,The Marks of the New Birth,john-wesley
jw-sermon-018-010,1 John 5:15,1 John,5,15,15,The Marks of the New Birth,john-wesley
jw-sermon-018-011,1 John 5:1,1 John,5,1,1,The Marks of the New Birth,john-wesley
jw-sermon-018-011,Song of Solomon 2:16,Song of Solomon,2,16,16,The Marks of the New Birth,john-wesley
jw-sermon-018-011,1 John 3:16,1 John,3,16,16,The Marks of the New Birth,john-wesley
jw-sermon-018-011,1 John 3:14,1 John,3,14,14,The Marks of the New Birth,john-wesley
jw-sermon-018-011,1 John 4:13,1 John,4,13,13,The Marks of the New Birth,john-wesley
jw-sermon-018-011,1 John 4:7,1 John,4,7,7,The Marks of the New Birth,john-wesley
jw-sermon-018-012,1 John 5:3,1 John,5,3,3,The Marks of the New Birth,john-wesley
jw-sermon-018-015,1 John 3:15,1 John,3,15,15,The Marks of the New Birth,john-wesley
jw-sermon-018-015,Matthew 5:28,Matthew,5,28,28,The Marks of the New Birth,john-wesley
jw-sermon-018-015,James 4:4,James,4,4,4,The Marks of the New Birth,john-wesley
jw-sermon-019-000,1 John 3:9,1 John,3,9,9,The Great Privilege of Those Born of God,john-wesley
jw-sermon-019-007,Acts 4:36-37,Acts,4,36,37,The Great Privilege of Those Born of God,john-wesley
jw-sermon-019-007,Acts 11:29-30,Acts,11,29,30,The Great Privilege of Those Born of God,john-wesley
jw-sermon-019-007,Acts 13:1-4,Acts,13,1,4,The Great Privilege of Those Born of God,john-wesley
jw-sermon-019-007,Acts 15:35-39,Acts,15,35,39,The Great Privilege of Those Born of God,john-wesley
