source_id,slug,title,corpus,open
cw-078-universal-redemption-another-1,cw/hymns/misc/078-universal-redemption-another-1,078 Universal Redemption Another 1,cw-hymns-misc,True
cw-079-universal-redemption-another-2,cw/hymns/misc/079-universal-redemption-another-2,079 Universal Redemption Another 2,cw-hymns-misc,True
cw-080-hymn-to-christ-the-prophet,cw/hymns/misc/080-hymn-to-christ-the-prophet,080 Hymn To Christ The Prophet,cw-hymns-misc,True
cw-081-luke-1521-father-i-have-sinned-against-heaven,cw/hymns/misc/081-luke-1521-father-i-have-sinned-against-heaven,081 Luke 1521 Father I Have Sinned Against Heaven,cw-hymns-misc,True
cw-082-at-the-approach-of-temptation,cw/hymns/misc/082-at-the-approach-of-temptation,082 At The Approach Of Temptation,cw-hymns-misc,True
cw-083-in-temptation,cw/hymns/misc/083-in-temptation,083 In Temptation,cw-hymns-misc,True
cw-084-job-238-9-10,cw/hymns/misc/084-job-238-9-10,084 Job 238 9 10,cw-hymns-misc,True
cw-085-after-a-relapse-into-sin,cw/hymns/misc/085-after-a-relapse-into-sin,085 After A Relapse Into Sin,cw-hymns-misc,True
cw-086-against-hope-believing-in-hope,cw/hymns/misc/086-against-hope-believing-in-hope,086 Against Hope Believing In Hope,cw-hymns-misc,True
cw-087-matthew-54-blessed-are-they-that-mourn,cw/hymns/misc/087-matthew-54-blessed-are-they-that-mourn,087 Matthew 54 Blessed Are They That Mourn,cw-hymns-misc,True
cw-088-habakkuk-24-the-just-shall-live-by-faith,cw/hymns/misc/088-habakkuk-24-the-just-shall-live-by-faith,088 Habakkuk 24 The Just Shall Live By Faith,cw-hymns-misc,True
cw-089-isaiah-4522-look-unto-me-and-be-ye-saved-all-ye-ends-of-the-earth,cw/hymns/misc/089-isaiah-4522-look-unto-me-and-be-ye-saved-all-ye-ends-of-the-earth,089 Isaiah 4522 Look Unto Me And Be Ye Saved All Ye Ends Of The Earth,cw-hymns-misc,True
cw-090-praise-for-redemption-from-the-german-ludwig-andreas-gotter,cw/hymns/misc/090-praise-for-redemption-from-the-german-ludwig-andreas-gotter,090 Praise For Redemption From The German Ludwig Andreas Gotter,cw-hymns-misc,True
cw-091-on-the-admission-of-any-person-into-the-society,cw/hymns/misc/091-on-the-admission-of-any-person-into-the-society,091 On The Admission Of Any Person Into The Society,cw-hymns-misc,True
cw-092-seraphick-love-altered-from-john-norris,cw/hymns/misc/092-seraphick-love-altered-from-john-norris,092 Seraphick Love Altered From John Norris,cw-hymns-misc,True
cw-093-the-aspiration-from-the-same-john-norris,cw/hymns/misc/093-the-aspiration-from-the-same-john-norris,093 The Aspiration From The Same John Norris,cw-hymns-misc,True
cw-094-solomons-song-chapter-515-etc-george-sandys,cw/hymns/misc/094-solomons-song-chapter-515-etc-george-sandys,094 Solomons Song Chapter 515 Etc George Sandys,cw-hymns-misc,True
cw-095-written-after-walking-over-smithfield,cw/hymns/misc/095-written-after-walking-over-smithfield,095 Written After Walking Over Smithfield,cw-hymns-misc,True
cw-096-the-believers-triumph-from-the-german-nikolaus-von-zinzendorf,cw/hymns/misc/096-the-believers-triumph-from-the-german-nikolaus-von-zinzendorf,096 The Believers Triumph From The German Nikolaus Von Zinzendorf,cw-hymns-misc,True
cw-097-the-love-feast-part-i,cw/hymns/misc/097-the-love-feast-part-i,097 The Love Feast Part I,cw-hymns-misc,True
cw-098-the-love-feast-part-i---part-v-1-peter-13-etc,cw/hymns/misc/098-the-love-feast-part-i---part-v-1-peter-13-etc,098 The Love Feast Part I   Part V 1 Peter 13 Etc,cw-hymns-misc,True
cw-099-the-communion-of-saints-part-i,cw/hymns/misc/099-the-communion-of-saints-part-i,099 The Communion Of Saints Part I,cw-hymns-misc,True
cw-101-the-communion-of-saints-part-iii-john-1720-etc,cw/hymns/misc/101-the-communion-of-saints-part-iii-john-1720-etc,101 The Communion Of Saints Part Iii John 1720 Etc,cw-hymns-misc,True
cw-102-the-communion-of-saints-part-iv,cw/hymns/misc/102-the-communion-of-saints-part-iv,102 The Communion Of Saints Part Iv,cw-hymns-misc,True
cw-103-the-communion-of-saints-part-v-hebrews-1222-23-24,cw/hymns/misc/103-the-communion-of-saints-part-v-hebrews-1222-23-24,103 The Communion Of Saints Part V Hebrews 1222 23 24,cw-hymns-misc,True
cw-104-the-communion-of-saints-part-vi,cw/hymns/misc/104-the-communion-of-saints-part-vi,104 The Communion Of Saints Part Vi,cw-hymns-misc,True
cw-105-isaiah-64,cw/hymns/misc/105-isaiah-64,105 Isaiah 64,cw-hymns-misc,True
cw-106-hebrews-49-there-remaineth-therefore-a-rest-to-the-people-of-god,cw/hymns/misc/106-hebrews-49-there-remaineth-therefore-a-rest-to-the-people-of-god,106 Hebrews 49 There Remaineth Therefore A Rest To The People Of God,cw-hymns-misc,True
cw-001-gods-love-and-power,cw/hymns/misc/001-gods-love-and-power,001 Gods Love And Power,cw-hymns-misc,True
cw-002-a-prayer-for-the-light-of-life,cw/hymns/misc/002-a-prayer-for-the-light-of-life,002 A Prayer For The Light Of Life,cw-hymns-misc,True
cw-003-prayer-for-faith,cw/hymns/misc/003-prayer-for-faith,003 Prayer For Faith,cw-hymns-misc,True
